timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,isFailure
1526379374775883,42,127,81,57,-52,-38,-76,-30,false
1526379374775883,-30,-33,-91,6,86,41,46,-62,false
1526379374796906,89,105,39,62,26,14,12,123,false
1526379374796906,-3,-114,-93,-114,27,-30,-90,-128,false
1526379374798898,-90,-77,-113,-92,2,-8,-24,-61,false
1526379374798898,-87,-95,1,4,-128,-43,24,24,false
1526379374811911,37,95,101,25,-45,-8,-98,11,false
1526379374811911,47,-49,-73,-41,107,20,-96,-63,false
1526379374817915,53,56,22,74,-16,42,98,127,false
1526379374817915,-20,-23,-26,7,7,-43,2,-128,false
1526379374834926,1,-89,-64,-27,71,19,112,91,false
1526379374834926,-3,-64,64,0,-32,4,114,53,false
1526379374835923,41,107,-11,86,-56,-28,-52,-65,false
1526379374835923,30,-79,-13,-91,116,18,76,127,false
1526379374847930,-128,-12,-8,122,50,26,-30,-128,false
1526379374847930,127,11,38,116,-101,-49,-86,59,false
1526379374857939,9,32,-76,-108,127,59,125,-38,false
1526379374857939,10,-30,94,108,-18,21,78,92,false
1526379374871965,-84,109,60,35,-84,-61,-103,-115,false
1526379374871965,-26,15,-88,46,53,47,80,24,false
1526379374877961,118,104,47,37,11,31,47,90,false
1526379374877961,-76,-54,76,6,-111,-61,-128,-128,false
1526379374894968,105,79,63,16,45,29,127,127,false
1526379374894968,-99,-79,-2,-122,22,-14,0,-125,false
1526379374895962,88,-107,-30,-24,-64,-25,-33,71,false
1526379374895962,0,106,66,100,66,37,37,97,false
1526379374907971,79,-90,-89,9,-15,7,-5,-28,false
1526379374907971,103,87,72,-46,-54,-29,-98,102,false
1526379374916979,61,-113,-90,-37,54,1,9,106,false
1526379374916979,-46,72,-7,-63,-84,11,-117,-101,false
1526379374931988,57,-113,-94,36,30,35,2,-44,false
1526379374931988,99,-21,-44,-128,6,-51,4,24,false
1526379374937995,-128,-83,27,-22,-82,-24,-24,-128,false
1526379374937995,127,73,10,-108,37,-24,12,127,false
1526379374962011,19,123,62,49,-112,-1,8,127,false
1526379374962011,64,92,-7,-44,82,52,59,0,false
1526379374964007,-59,51,-11,-2,-15,-30,-11,109,false
1526379374964007,54,20,55,-90,-35,-48,-79,-125,false
1526379374977020,-102,36,23,18,4,32,-3,-120,false
1526379374977020,6,95,28,122,-125,-28,83,70,false
1526379374979018,65,17,-32,-54,32,28,127,124,false
1526379374979018,66,55,34,100,-94,-24,-32,-105,false
1526379374992028,10,-39,-7,-58,-18,-16,14,-46,false
1526379374992028,42,62,-38,127,31,43,11,12,false
1526379374998041,-66,-27,31,20,-36,16,89,19,false
1526379374998041,-59,-93,-72,25,53,18,22,-7,false
1526379375015045,39,0,0,-8,-30,-21,-32,-1,false
1526379375015045,-2,24,24,-33,-53,-33,-31,-31,false
1526379375016042,24,49,27,-85,43,-4,-35,-41,false
1526379375016042,-32,-22,33,-13,30,36,-46,9,false
1526379375028055,-23,-80,-33,107,34,2,38,26,false
1526379375028055,-28,9,32,50,-16,-4,-40,-52,false
1526379375037056,-33,-15,-5,21,-32,33,-50,-31,false
1526379375037056,-12,15,0,4,-50,-42,-50,2,false
1526379375051069,-3,26,12,-39,33,-6,43,29,false
1526379375051069,-26,-54,7,-23,-11,-5,98,-8,false
1526379375060074,10,-19,9,65,22,-2,-64,-49,false
1526379375060074,18,-11,-49,-33,45,27,80,21,false
1526379375074095,-16,-19,9,-22,-26,21,-7,-13,false
1526379375074095,-59,-56,-19,-17,-6,3,17,-37,false
1526379375081102,10,48,32,24,2,-17,65,18,false
1526379375081102,34,23,-37,-15,16,-12,-32,-2,false
1526379375088094,-23,48,49,-25,-19,-20,95,66,false
1526379375088094,-29,-58,10,15,-9,-5,-128,-85,false
1526379375097096,4,27,-7,7,24,27,0,-8,false
1526379375097096,-17,-21,-30,-15,-14,3,9,4,false
1526379375111109,18,2,9,-3,-25,-17,-40,-7,false
1526379375111109,1,0,6,-14,-2,-2,5,10,false
1526379375120111,-3,-8,-1,16,10,10,-10,-1,false
1526379375120111,18,1,13,29,39,13,4,10,false
1526379375134140,-26,-1,23,-8,-9,8,-25,-1,false
1526379375134140,-4,-15,-61,-30,-11,-15,4,-4,false
1526379375141145,0,2,20,33,-82,-28,-11,-13,false
1526379375141145,-2,12,10,-13,35,5,6,20,false
1526379375148151,-7,-20,-8,-37,65,25,19,-3,false
1526379375148151,-6,-10,6,-3,18,-3,-6,-3,false
1526379375157135,12,3,15,24,0,2,0,-4,false
1526379375157135,-7,-8,-10,15,-35,-7,1,6,false
1526379375171149,-8,-9,-29,13,-29,-13,13,-1,false
1526379375171149,7,7,-19,-28,-5,-8,-36,-7,false
1526379375180150,-7,6,-4,-5,22,19,1,2,false
1526379375180150,1,4,-2,-5,1,-9,26,5,false
1526379375194164,14,-4,7,-11,0,-6,9,6,false
1526379375194164,-5,-1,17,18,-5,2,-7,1,false
1526379375201169,0,-7,1,-4,14,4,-14,-2,false
1526379375201169,-9,-18,-2,-6,-4,5,12,1,false
1526379375208186,-5,-9,-9,6,-14,-4,14,-2,false
1526379375208186,9,0,8,10,-5,-6,0,1,false
1526379375217179,1,1,10,5,21,2,32,4,false
1526379375217179,12,4,-17,-13,-2,2,6,9,false
1526379375231189,-9,0,-1,-7,-20,-3,-32,-11,false
1526379375231189,-7,2,23,51,-71,-25,-2,1,false
1526379375240191,3,8,-19,-53,113,37,9,1,false
1526379375240191,-3,0,-9,2,-14,3,14,4,false
1526379375254199,-2,-1,-18,-9,-10,-8,-34,-8,false
1526379375254199,-4,1,20,10,-3,-2,-6,-3,false
1526379375261204,-1,10,2,9,-28,-10,4,-2,false
1526379375261204,0,-2,-12,5,-7,0,27,7,false
1526379375285220,-5,-11,0,2,11,1,-43,2,false
1526379375285220,2,1,13,11,15,10,50,-5,false
1526379375286221,-5,-4,-20,-34,-25,-15,-52,-13,false
1526379375286221,3,-6,1,-11,11,-3,2,10,false
1526379375291229,-3,-2,4,10,-20,-8,4,8,false
1526379375291229,9,2,-2,-9,18,9,-5,4,false
1526379375300230,-3,-1,5,23,-8,-1,39,6,false
1526379375300230,8,2,6,14,-9,0,-19,10,false
1526379375314260,-29,-12,-23,-27,-1,-4,-13,-31,false
1526379375314260,-2,4,2,4,12,6,-12,-10,false
1526379375321249,6,4,-1,-19,-6,-3,9,1,false
1526379375321249,2,2,2,-14,-17,-4,-6,-2,false
1526379375337277,5,4,13,22,-11,0,17,10,false
1526379375337277,1,2,-3,-9,15,4,-12,1,false
1526379375339256,1,0,-1,16,19,0,7,4,false
1526379375339256,-7,-2,-5,12,0,-3,-41,-11,false
1526379375351269,7,4,1,-18,-14,-3,0,-6,false
1526379375351269,-4,-1,-10,-17,-8,-8,-5,3,false
1526379375360270,7,7,19,33,-4,3,5,4,false
1526379375360270,-5,-13,-5,0,9,5,9,-3,false
1526379375374300,12,7,-15,-21,-10,-1,12,2,false
1526379375374300,7,12,-7,-28,12,2,-10,2,false
1526379375381284,-29,-8,0,3,-8,-5,-7,-4,false
1526379375381284,-5,-42,-4,-7,3,-1,-6,-10,false
1526379375397298,-18,-7,-4,13,-15,-7,0,-4,false
1526379375397298,8,-4,-4,3,2,2,2,12,false
1526379375398295,14,13,6,2,-1,0,-1,0,false
1526379375398295,2,33,11,-6,-22,-4,3,0,false
1526379375411304,3,-25,8,20,39,10,8,5,false
1526379375411304,4,14,25,5,4,0,0,3,false
